,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,ZO_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2003-01-07,6270,1517,801,2130,3508,004603,OATS - CHICAGO BOARD OF TRADE ,206.0,0.21977671451355663,-1378,,716,,,,,0.03033980582524265,
2003-01-14,7161,1827,861,1844,4255,004603,OATS - CHICAGO BOARD OF TRADE ,212.25,0.3366848205557883,-2411,-16.475279106858054,966,3.9872408293460926,0.16937202820134448,0.13764880952380953,0.03033980582524265,-0.0035335689045936647,
2003-01-21,7395,1976,927,1864,4273,004603,OATS - CHICAGO BOARD OF TRADE ,211.5,0.3257606490872211,-2409,0.027929060187124703,1049,1.1590559977656754,0.006191950464396285,0.074061315880124,-0.0035335689045936647,-0.026004728132387744,
2003-01-28,6892,1371,796,2243,3868,004603,OATS - CHICAGO BOARD OF TRADE ,206.0,0.235780615206036,-1625,10.601757944557132,575,-6.40973630831643,0.12829324169530354,0.339640055376096,-0.026004728132387744,-0.027912621359223344,
2003-02-04,6632,651,777,2797,3626,004603,OATS - CHICAGO BOARD OF TRADE ,200.25,0.125,-829,11.54962275101567,-126,-10.171213000580384,0.12392962789973533,0.5175070028011205,-0.027912621359223344,0.07240948813982517,
2003-02-11,6921,962,1239,2496,3645,004603,OATS - CHICAGO BOARD OF TRADE ,214.75,0.1660164716081491,-1149,-4.8250904704463204,-277,-2.2768395657418576,0.05210877707213809,0.35120399818264425,0.07240948813982517,-0.020954598370197863,
2003-02-18,6721,1220,1228,2419,3479,004603,OATS - CHICAGO BOARD OF TRADE ,210.25,0.1577146257997322,-1060,1.2859413379569427,-8,3.886721572027164,0.041200406917599186,0.10988562091503268,-0.020954598370197863,0.019024970273483932,
2003-02-25,6642,1606,670,1614,3893,004603,OATS - CHICAGO BOARD OF TRADE ,214.25,0.3431195423065342,-2279,-18.1371819669692,936,14.04552893914596,0.22135463954966406,0.4147627416520211,0.019024970273483932,0.02683780630105015,
2003-03-04,6133,1243,906,1704,3381,004603,OATS - CHICAGO BOARD OF TRADE ,220.0,0.2734387738464047,-1677,9.063535079795242,337,-9.018367961457392,0.1183874139626352,0.27873429502094,0.02683780630105015,-0.013636363636363669,
2003-03-11,5693,1191,818,1838,3441,004603,OATS - CHICAGO BOARD OF TRADE ,217.0,0.2815738626383278,-1603,1.2065873145279635,373,0.5869884232838741,0.03674938435309718,0.06968641114982578,-0.013636363636363669,-0.16820276497695852,
2003-03-18,5867,1090,603,2233,3469,004603,OATS - CHICAGO BOARD OF TRADE ,180.5,0.21066984830407362,-1236,6.44651326190058,487,2.002459160372387,0.07418449666783584,0.18665091553455404,-0.16820276497695852,0.018005540166204925,
2003-03-25,5996,1101,448,2493,3580,004603,OATS - CHICAGO BOARD OF TRADE ,183.75,0.18128752501667778,-1087,2.5396284302028294,653,2.829384694051474,0.06109007080520336,0.10716591349257586,0.018005540166204925,0.0054421768707482165,
2003-04-01,6033,1016,515,2867,3660,004603,OATS - CHICAGO BOARD OF TRADE ,184.75,0.1314437261727167,-793,4.903268845897265,501,-2.535023348899266,0.06955722383943619,0.09928151534944481,0.0054421768707482165,0.016238159675236785,
2003-04-08,6115,1018,362,2574,3878,004603,OATS - CHICAGO BOARD OF TRADE ,187.75,0.21324611610793132,-1304,-8.470081219956905,656,2.5692027183822312,0.07920024798512089,0.11231884057971014,0.016238159675236785,-0.011984021304926817,
2003-04-15,6179,1192,294,2486,3609,004603,OATS - CHICAGO BOARD OF TRADE ,185.5,0.18174461887036739,-1123,2.959934587080949,898,3.9574816026165167,0.05857260049220673,0.16285329744279947,-0.011984021304926817,-0.040431266846361225,
2003-04-22,6339,1408,236,2348,3691,004603,OATS - CHICAGO BOARD OF TRADE ,178.0,0.21186306988483988,-1343,-3.5604466742191296,1172,4.434374494254733,0.03642987249544627,0.16666666666666666,-0.040431266846361225,-0.057584269662921295,
2003-04-29,5794,1430,169,2127,3409,004603,OATS - CHICAGO BOARD OF TRADE ,167.75,0.22126337590610975,-1282,0.9622968922542987,1261,1.4040069411579112,0.09085982658959538,0.05565978736710444,-0.057584269662921295,0.013412816691505292,
2003-05-06,5869,1560,225,1984,3160,004603,OATS - CHICAGO BOARD OF TRADE ,170.0,0.20037485091156926,-1176,1.8294787711425613,1335,1.277183293061788,0.07620528771384137,0.10420168067226891,0.013412816691505292,-0.01764705882352946,
2003-05-13,5851,1489,240,1601,3239,004603,OATS - CHICAGO BOARD OF TRADE ,167.0,0.27995214493249015,-1638,-7.871869142954507,1249,-1.4653262906798432,0.09545454545454546,0.04973973395026027,-0.01764705882352946,-0.053892215568862256,
2003-05-20,5864,1589,231,977,3727,004603,OATS - CHICAGO BOARD OF TRADE ,158.0,0.4689631650750341,-2750,-19.00529823961716,1358,1.8629294137754229,0.23639455782312926,0.05989010989010989,-0.053892215568862256,-0.09018987341772156,
2003-05-27,5852,1658,134,1198,3415,004603,OATS - CHICAGO BOARD OF TRADE ,143.75,0.37884483937115515,-2217,9.089358799454297,1524,2.830832196452933,0.11554303056579232,0.09263392857142858,-0.09018987341772156,0.013913043478260834,
2003-06-03,5790,1638,186,1265,3455,004603,OATS - CHICAGO BOARD OF TRADE ,145.75,0.37823834196891193,-2190,0.4613807245386192,1452,-1.2303485987696514,0.02266949152542373,0.039473684210526314,0.013913043478260834,0.006861063464836947,
2003-06-10,5723,1573,244,1387,3321,004603,OATS - CHICAGO BOARD OF TRADE ,146.75,0.3379346496592696,-1934,4.4214162348877375,1329,-2.1243523316062176,0.05437553101104503,0.06769400110071547,0.006861063464836947,0.061328790459965976,
2003-06-17,5492,1496,127,1462,3520,004603,OATS - CHICAGO BOARD OF TRADE ,155.75,0.37472687545520755,-2058,-2.1666957889218943,1369,0.6989341254586755,0.05499799277398635,0.11953173136167591,0.061328790459965976,-0.049759229534510396,
2003-06-24,5582,1787,216,1496,3431,004603,OATS - CHICAGO BOARD OF TRADE ,148.0,0.3466499462558223,-1935,2.239621267297888,1571,3.678077203204661,0.024964481428861377,0.18971542685971043,-0.049759229534510396,0.05236486486486491,
2003-07-01,5529,1760,164,1668,3220,004603,OATS - CHICAGO BOARD OF TRADE ,155.75,0.2807017543859649,-1552,6.8613400214976705,1596,0.4478681476173415,0.07835515548281506,0.04106029106029106,0.05236486486486491,-0.017656500802568198,0.2639527278399958
2003-07-08,5521,1438,317,1832,3065,004603,OATS - CHICAGO BOARD OF TRADE ,153.0,0.22332910704582504,-1233,5.769578585639356,1121,-8.59106529209622,0.06514192362671023,0.2706552706552707,-0.017656500802568198,-0.17156862745098034,0.26244814929206356
2003-07-15,5661,1577,348,1884,3211,004603,OATS - CHICAGO BOARD OF TRADE ,126.75,0.234410881469705,-1327,-1.7025901104872305,1229,1.9561673609853287,0.038861629048086356,0.08831168831168831,-0.17156862745098034,0.009861932938856066,0.2614468182984079
2003-07-22,5943,1563,332,1901,3497,004603,OATS - CHICAGO BOARD OF TRADE ,128.0,0.26855123674911663,-1596,-4.751810634163575,1231,0.03532944709415298,0.056131900703964434,0.0158311345646438,0.009861932938856066,0.109375,0.26169179824498406
