,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,SB_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2003-01-07,228147,55571,6343,106203,187133,080732,"SUGAR NO. 11 - COFFEE,SUGAR AND COCOA EXCHANGE ",7.550000190734863,0.35472743450494637,-80930,,49228,,,,,0.014569490582561073,
2003-01-14,234927,57202,6357,108482,191240,080732,"SUGAR NO. 11 - COFFEE,SUGAR AND COCOA EXCHANGE ",7.659999847412109,0.352271131032193,-82758,-0.8012377984369725,50845,0.7087535667793133,0.021306410607162637,0.025881464466086627,0.014569490582561073,0.0143603310320648,
2003-01-21,246959,61403,15890,109039,189627,080732,"SUGAR NO. 11 - COFFEE,SUGAR AND COCOA EXCHANGE ",7.769999980926514,0.32632137318340293,-80588,0.9236911891779149,45513,-2.2696412076943053,0.007265641217949147,0.1776875008086114,0.0143603310320648,0.08880309638535944,
2003-01-28,263485,70171,5787,113612,220025,080732,"SUGAR NO. 11 - COFFEE,SUGAR AND COCOA EXCHANGE ",8.460000038146973,0.40386739283071144,-106413,-10.457201397802875,64384,7.641349373782693,0.10481751124725375,0.24843992732826037,0.08880309638535944,-0.0070922481496632495,
2003-02-04,274068,77706,6889,117458,230354,080732,"SUGAR NO. 11 - COFFEE,SUGAR AND COCOA EXCHANGE ",8.399999618530273,0.41192696703008014,-112896,-2.4604816213446687,70817,2.4415052090251814,0.04075477556841052,0.10209823275607305,-0.0070922481496632495,0.05952381222696812,
2003-02-11,276996,78987,6650,117432,229320,080732,"SUGAR NO. 11 - COFFEE,SUGAR AND COCOA EXCHANGE ",8.899999618530273,0.4039336308105532,-111888,0.3677919348482858,72337,0.5546068858823358,0.0030569398301956443,0.017749337319149433,0.05952381222696812,-0.033707780889780325,
2003-02-25,257116,72471,2697,120621,223354,080732,"SUGAR NO. 11 - COFFEE, SUGAR AND COCOA EXCHANGE ",8.600000381469727,0.3995589539351888,-102733,3.305101878727491,69774,-0.9252841196262762,0.026615306344937858,0.1392746913580247,-0.033707780889780325,-0.040697716970323206,
2003-03-04,233658,74861,2613,97092,206296,080732,"SUGAR NO. 11 - COFFEE, SUGAR AND COCOA EXCHANGE ",8.25,0.4673668352891833,-109204,-2.5167628618989095,72248,0.9622116087680269,0.133779187047609,0.031933293750161344,-0.040697716970323206,-0.01575758962920215,
2003-03-11,229809,67512,2923,101281,199273,080732,"SUGAR NO. 11 - COFFEE, SUGAR AND COCOA EXCHANGE ",8.119999885559082,0.4264062765165855,-97992,4.798466134264609,64589,-3.277867652723211,0.03730444445923195,0.10873855327607014,-0.01575758962920215,-0.06527090399517899,
2003-03-18,214525,52393,2759,109881,182098,080732,"SUGAR NO. 11 - COFFEE, SUGAR AND COCOA EXCHANGE ",7.590000152587891,0.33663675562288775,-72217,11.215835759260951,49634,-6.50757803219195,0.08827689662612723,0.27710690455468523,-0.06527090399517899,0.013175217736783873,
2003-03-25,217254,50002,2575,113774,184051,080732,"SUGAR NO. 11 - COFFEE, SUGAR AND COCOA EXCHANGE ",7.690000057220459,0.323478509026301,-70277,0.9043235054189488,47427,-1.0287845239482578,0.01962897674809032,0.04897578789204405,0.013175217736783873,-0.011703530808609752,
2003-04-01,208971,42974,2571,113325,173256,080732,"SUGAR NO. 11 - COFFEE, SUGAR AND COCOA EXCHANGE ",7.599999904632568,0.28679099013738746,-59931,4.762167785173115,40403,-3.2330820146004218,0.03923498068608875,0.15439675046657153,-0.011703530808609752,-0.030263160784158694,
2003-04-08,204128,39052,5151,111030,164431,080732,"SUGAR NO. 11 - COFFEE, SUGAR AND COCOA EXCHANGE ",7.369999885559082,0.26160546323875217,-53401,3.124835503490915,33901,-3.1114365151145376,0.04036869103067222,0.14709408863651788,-0.030263160784158694,-0.021709613283117712,
2003-04-15,192307,27278,9085,114550,150444,080732,"SUGAR NO. 11 - COFFEE, SUGAR AND COCOA EXCHANGE ",7.210000038146973,0.18664947193809897,-35894,8.576481423420597,18193,-7.695171656999529,0.06606564676936082,0.4319775596072931,-0.021709613283117712,0.08044381700934355,
2003-04-22,182454,31716,6026,93699,144831,080732,"SUGAR NO. 11 - COFFEE, SUGAR AND COCOA EXCHANGE ",7.789999961853027,0.28024597980860927,-51132,-7.923788525638692,25690,3.8984540344345238,0.11094621221649269,0.19863812198611627,0.08044381700934355,-0.051347894393606985,
